participant_id	input_dna_concentration	input_dna_volumne	mass_dna	batch	reads_raw_total	coverage_raw_reads	reads_collapsed_total	reads_collapsed_duplex	reads_collapsed_non_duplex	coverage_collapsed_reads	fragments_total	coverage_fragments
ccga_826	14.17	5.29	74.9593	HKLWMALXX	1910772312	90267.81	125590040	48051418	77180617	4487.766	62806183	4485.809
ccga_828	10.82	6.93	74.9826	H3LH2CCXY	2042499802	103877.1	114090256	36182677	77628408	4093.004	57053776	4090.932
ccga_8288	11.87	6.32	75.0184	HFY37CCXY	2040826966	101191.2	143317654	51132374	91864844	5068.943	71674088	5066.603
ccga_83	10.67	7.03	75.01010000000001	H527YCCXY	2720030306	138887.9	124240058	41750025	82273857	4456.292	62131228	4454.492
ccga_8327	16.5	4.55	75.075	HFY2VCCXY	1929246694	92655.37	119875374	46066447	73575177	4163.501	59951576	4162.052
ccga_833	12.97	5.78	74.96660000000001	HFWVFCCXY	2085249040	105109.3	118704746	42083625	76383467	4101.281	59366020	4099.69
ccga_834	12.63	5.94	75.02220000000001	H22Y7CCXY	2750823908	139602.5	134841962	45715883	88869912	4704.35	67435677	4702.312
ccga_8347	15.44	4.86	75.0384	HFY5TCCXY	1970924024	100474.6	115922240	41366648	74238315	4143.293	57972179	4141.896
ccga_835	9.8	7.65	74.97000000000001	HK7FMALXX	2132767026	110554.8	120356696	42019376	78126453	4269.74	60189529	4268.034
ccga_836	14.49	5.18	75.0582	H55TVCCXY	1906498774	93459.86	108432588	35744091	72377611	3872.817	54228562	3870.163
ccga_8372	11.73	6.39	74.9547	HFYJTCCXY	1732442528	82550.25	136903364	45168781	90761393	4807.481	68462552	4804.596
ccga_84	15.22	4.93	75.0346	HCMYFCCXY	2104747270	108321.4	87599618	24843664	62576252	3178.64	43805936	3177.203
ccga_843	12.33	6.08	74.96640000000001	H5WYNCCXY	1446970150	72622	88163594	25489692	62530582	3110.041	44088069	3108.769
ccga_844	12.84	5.84	74.98559999999999	H7FG3CCXY	2715188356	140150.1	102315826	32343800	69808659	3719.112	51171058	3717.653
ccga_845	11.67	6.43	75.0381	HL2MYALXX	2014937696	101606	107738552	32547852	74984876	3941.431	53878619	3939.876
ccga_8477	11.15	6.73	75.0395	HFY2JCCXY	1769962580	83846.53	127466142	49381641	77572834	4419.822	63739877	4417.942
ccga_848	14.94	5.02	74.99879999999999	HLC27ALXX	1994615832	102349.5	112575866	34406065	77957835	4111.677	56302055	4109.901
ccga_851	13.17	5.69	74.93730000000001	HCMMNCCXY	1921999754	95986.47	96148978	31091736	64811178	3449.01	48082162	3447.434
ccga_8516	14.73	5.09	74.9757	HFYMVCCXY	1972409334	98280.42	134115990	52503502	80900505	4690.755	67067676	4688.54
ccga_854	9.07	8.27	75.0089	H77Y2CCXY	1786839366	92890.67	123285088	31488489	91558546	4568.66	61655813	4566.936
ccga_8552	14.98	5.01	75.0498	HFYVWCCXY	1867446892	92284.91	116543932	44345463	71872612	4028.735	58283830	4027.036
ccga_8558	14.34	5.23	74.99820000000001	HCLNGCCXY	1860043050	93686.9	94827272	29300231	65383649	3430.619	47422286	3429.402
ccga_8559	15.02	4.99	74.9498	HG2HYCCXY	2042099462	102955	123054542	45744309	76908816	4322.509	61539317	4320.789
ccga_8562	17.52	4.28	74.9856	HCMW3CCXY	2124996336	109672.4	100356044	32340936	67856888	3605.684	50190043	3604.338
ccga_859	14.18	5.29	75.012199999999993	HL2CVALXX	2005233574	105543.8	99582332	31069249	68340997	3623.09	49800273	3621.704
ccga_860	13.63	5.5	74.965	HCT27CCXY	2698565462	140381.1	102933634	30168790	72618525	3744.013	51478964	3742.563
ccga_861	13.26	5.66	75.05160000000001	H2J3JCCXY	2720391826	140674.6	103076786	31686563	71212456	3733.896	51549049	3732.428
ccga_867	14.68	5.11	75.01480000000001	H73KWCCXY	2697090554	135476.3	113268410	41601065	71483746	3951.076	56647466	3949.571
ccga_868	12.13	6.18	74.96340000000001	H2CW7CCXY	1833359878	95348.22	99474446	25618370	73665126	3674.863	49746215	3673.519
ccga_869	25.65	2.92	74.898	H3NH5CCXY	2405147718	123395.4	114328258	36043012	78039296	4099.577	57172733	4097.878
ccga_87	15.49	4.84	74.9716	HKYYJALXX	1987115986	102518	98486226	31558629	66727583	3553.781	49254582	3552.366
ccga_870	16.71	4.49	75.0279	HLCM5ALXX	1858018056	94667.72	107351620	37261961	69782030	3805.243	53684796	3803.471
ccga_873	12.54	5.98	74.9892	H72WKCCXY	1891110948	92359.86	103236234	30745078	72265181	3748.504	51627886	3746.814
ccga_879	13.09	5.73	75.0057	H5LY5CCXY	2606914542	135799.6	102142818	31180849	70790320	3720.464	51084910	3719.096
ccga_880	11.21	6.69	74.99490000000002	H2253CCXY	1754284284	90221	110190250	35089397	74847096	3874.419	55104010	3871.668
ccga_881	8.81	8.51	74.9731	H223CCCXY	2536500316	130256.3	125890508	39224443	86362369	4576.042	62955751	4574.18
ccga_882	14.54	5.16	75.0264	HKW32ALXX	2689727490	136382.4	111511322	39526739	71752460	3949.769	55769096	3948.115
ccga_883	14.9	5.03	74.947	H5WYCCCXY	2821328518	142420.1	107086078	35717371	71143111	3806.608	53553354	3805.191
ccga_884	12.67	5.92	75.0064	H3HWYCCXY	2055470106	101768.8	113830878	37957055	75659776	4084.982	56928810	4083.477
ccga_886	11.52	6.51	74.9952	HLC7MALXX	1908008042	97195.76	105802638	36762186	68801045	3773.546	52911020	3771.981
ccga_887	19.87	3.77	74.90990000000001	H55T5CCXY	2558822678	132666.2	101051800	27101890	73805647	3708.315	50537201	3706.533
ccga_889	11.69	6.42	75.04979999999999	HKLWJALXX	2132579170	110925.8	110151926	33439970	76528749	4006.07	55089299	4004.245
ccga_89	10.76	6.97	74.99719999999999	H2HHHCCXY	1847857832	95913.18	102835952	32771537	69812580	3721.535	51429149	3719.816
ccga_896	12.53	5.99	75.0547	H3TMTCCXY	2071278998	104931.5	117322880	36473106	80630567	4286.12	58674048	4284.522
ccga_897	13.51	5.55	74.98049999999999	H77GCCCXY	2752345444	143262.2	89164098	24426828	64603439	3285.642	44591952	3284.399
ccga_898	16.76	4.47	74.91720000000001	H5WYCCCXY	2479581520	126815.3	106626006	34418230	71981456	3895.941	53322966	3894.61
ccga_90	11.61	6.46	75.00059999999999	H22NTCCXY	1552164862	79507.87	83203466	22198687	60823182	3079.399	41609409	3078.248
ccga_900	17.53	4.28	75.0284	H3WKCCCXY	1868487214	93763.13	93806816	24582094	66245132	3366.577	46604564	3364.342
ccga_902	11.41	6.57	74.9637	HL23KALXX	2020490018	102230.1	108176636	31810833	76138531	3996.345	54098612	3994.799
ccga_903	9.07	8.27	75.0089	H2CL3CCXY	1920622160	99170.32	136167006	38587010	96834142	4885.041	68100267	4882.937
ccga_905	15.8	4.75	75.05	HLCN5ALXX	1797177946	90793.5	115433738	38986153	76118761	4148.299	57727165	4146.644
ccga_907	12.44	6.03	75.0132	HL7FJALXX	1791608794	84903.37	118377818	42098653	75746321	4258.834	59197320	4256.777
ccga_908	14.28	5.25	74.97	H57C2CCXY	1947014032	95945.45	119506388	48162119	71021208	4221.861	59765840	4220.232
ccga_909	14.58	5.14	74.9412	H77F3CCXY	2056023050	105391.1	115900146	37259881	78386538	4130.489	57961967	4128.51
ccga_91	17.26	4.35	75.081	HL2G5ALXX	2091087958	107257.7	100517228	28562480	71807233	3599.085	50269460	3597.648
ccga_910	16.95	4.42	74.919	HKW32ALXX	2471916886	123720.2	112757462	42193916	70305026	3937.637	56392760	3935.837
ccga_912	14.98	5.01	75.0498	H2J2VCCXY	2378932618	121858.5	97966620	32217216	65542706	3565.514	48993779	3564.141
ccga_913	12.29	6.1	74.969	H23T3CCXY	2859006972	150387.3	96357312	31731268	64463106	3276.334	48188004	3274.527
